Name,X,Y,Name,X,Y,Name,X,Y,Name,X,Y
Film T1 S-SWCNTs,486.576171875,0.0156005442772243,Film T1 S-SWCNTs Converted,486.90234375,0.0182950148175827,Film T2 S-SWCNTs,486.576171875,0.00951268851081855,Film T2 S-SWCNTs Converted,487.515625,0.019997505992746
Film T1 S-SWCNTs,486.158203125,0.0143313234769735,Film T1 S-SWCNTs Converted,486.482421875,0.0191310597571641,Film T2 S-SWCNTs,486.158203125,0.00918517813138152,Film T2 S-SWCNTs Converted,487.095703125,0.0181462700922597
Film T1 S-SWCNTs,485.740234375,0.0115093172950719,Film T1 S-SWCNTs Converted,486.064453125,0.0209872839647744,Film T2 S-SWCNTs,485.740234375,0.0078709622994921,Film T2 S-SWCNTs Converted,486.67578125,0.0336622435294866
Film T1 S-SWCNTs,485.322265625,0.0108877632673018,Film T1 S-SWCNTs Converted,485.64453125,0.0146399827696514,Film T2 S-SWCNTs,485.322265625,0.00764194925568432,Film T2 S-SWCNTs Converted,486.2578125,0.0153412646972671
Film T1 S-SWCNTs,484.90234375,0.0111217647591017,Film T1 S-SWCNTs Converted,485.22265625,0.0166752017484206,Film T2 S-SWCNTs,484.90234375,0.00877097789812926,Film T2 S-SWCNTs Converted,485.83984375,0.0180572923997247
Film T1 S-SWCNTs,484.482421875,0.0133970431136025,Film T1 S-SWCNTs Converted,484.806640625,0.0055894065933697,Film T2 S-SWCNTs,484.482421875,0.00752646327091654,Film T2 S-SWCNTs Converted,485.41796875,0.0322276116926479
Film T1 S-SWCNTs,484.0625,0.013194940199846,Film T1 S-SWCNTs Converted,484.388671875,0.0158691448517854,Film T2 S-SWCNTs,484.0625,0.0085382016279418,Film T2 S-SWCNTs Converted,485.001953125,0.031569427216319
Film T1 S-SWCNTs,483.64453125,0.0151206286669927,Film T1 S-SWCNTs Converted,483.96875,0.00899868068787679,Film T2 S-SWCNTs,483.64453125,0.00811462838191406,Film T2 S-SWCNTs Converted,484.580078125,0.0216441612486623
Film T1 S-SWCNTs,483.2265625,0.0156510122011678,Film T1 S-SWCNTs Converted,483.548828125,0.0163069011801025,Film T2 S-SWCNTs,483.2265625,0.0096239452946639,Film T2 S-SWCNTs Converted,484.162109375,0.0146471139983752
Film T1 S-SWCNTs,482.8046875,0.0153622643105088,Film T1 S-SWCNTs Converted,483.1328125,0.0147545299364659,Film T2 S-SWCNTs,482.8046875,0.0103618616863321,Film T2 S-SWCNTs Converted,483.7421875,0.0206348133947889
Film T1 S-SWCNTs,482.38671875,0.00900901228630663,Film T1 S-SWCNTs Converted,482.7109375,0.0164806582669036,Film T2 S-SWCNTs,482.38671875,0.0068555972552602,Film T2 S-SWCNTs Converted,483.32421875,0.018992320882894
Film T1 S-SWCNTs,481.966796875,0.0126078263584069,Film T1 S-SWCNTs Converted,482.291015625,0.0102819214205032,Film T2 S-SWCNTs,481.966796875,0.00894023062101067,Film T2 S-SWCNTs Converted,482.904296875,0.0262659791806829
