Surfactant Example
Wavelength(nm), Absorption(a.u.)
1202,0.31094
1203,0.30559
1204,0.30033
1205,0.29584
1206,0.29142
1207,0.28704
1208,0.28344
1209,0.27995
1210,0.27656
1211,0.27365
1212,0.27093
1213,0.26831
1214,0.26589
1215,0.26388
1216,0.26167
1217,0.25994
1218,0.25828
1219,0.25676
1220,0.25544
1221,0.25437
1222,0.25354
1223,0.2528
1224,0.25235
1225,0.25209
1226,0.25205
1227,0.25229
1228,0.25272
1229,0.25344
1230,0.25443
1231,0.25566
1232,0.25717
1233,0.25899
1234,0.26098
1235,0.26339
1236,0.26586
1237,0.26859
1238,0.27195
1239,0.27518
1240,0.27856
1241,0.28203
1242,0.2857
1243,0.28928
1244,0.29278
1245,0.29665
1246,0.29989
1247,0.30316
1248,0.30612
1249,0.30877
1250,0.31134
1251,0.31334
1252,0.31508
1253,0.3164
1254,0.31738
1255,0.31806
1256,0.31826
1257,0.31823
1258,0.31781
1259,0.31718
1260,0.31617
1261,0.31499
1262,0.31362
1263,0.31204
1264,0.31018
1265,0.30843
1266,0.30642
1267,0.30448
1268,0.30254
1269,0.30053
1270,0.29858
1271,0.29669
1272,0.29493
1273,0.29322
1274,0.29169
1275,0.29021
1276,0.28882
1277,0.28757
1278,0.28639
1279,0.28525
1280,0.2842
1281,0.28312
1282,0.28208
1283,0.28093
1284,0.27988
1285,0.27864
1286,0.27738
1287,0.27601
1288,0.27449
1289,0.27284
1290,0.27112
1291,0.26928
1292,0.26709
1293,0.26507
1294,0.26274
1295,0.26022
1296,0.25797
1297,0.25541
1298,0.25285
1299,0.25041
1300,0.24778
1301,0.24511
1302,0.24252
1303,0.24001
1304,0.23744
1305,0.23498
1306,0.23272
1307,0.2302
1308,0.22778
1309,0.22565
1310,0.2235
1311,0.22131
1312,0.21932
1313,0.21739
1314,0.2154
1315,0.21362
1316,0.2118
1317,0.21005
1318,0.20842
1319,0.20675
1320,0.20512
1321,0.20354
1322,0.20204
1323,0.20051
1324,0.19906
1325,0.19782
1326,0.19617
1327,0.19485
1328,0.19351
1329,0.1922
1330,0.19076
1331,0.18951
1332,0.18821
1333,0.18685
1334,0.1857
1335,0.18436
1336,0.18307
1337,0.18189
1338,0.18061
1339,0.17939
1340,0.17821
1341,0.17701
1342,0.17589
1343,0.17469
1344,0.17359
1345,0.1725
1346,0.17134
1347,0.17022
1348,0.16923
1349,0.16814
1350,0.16712
1351,0.16612
1352,0.16512
1353,0.16415
1354,0.16324
1355,0.16235
1356,0.16159
1357,0.1607
1358,0.15994
1359,0.1592
1360,0.15842
1361,0.15768
1362,0.15697
1363,0.15645
1364,0.15577
1365,0.1552
1366,0.15472
1367,0.1541
1368,0.15369
1369,0.15322
1370,0.15265
1371,0.15217
1372,0.15184
1373,0.15142
1374,0.15109
1375,0.15059
1376,0.15017
1377,0.14973
1378,0.14969
1379,0.14891
1380,0.14851
1381,0.14813
1382,0.14754
1383,0.14732
1384,0.14636
1385,0.14629
1386,0.14568
1387,0.14494
1388,0.14478
1389,0.14449
1390,0.14442
1391,0.14406
1392,0.14381
1393,0.14301
1394,0.14298
1395,0.14219
1396,0.14205
1397,0.14133
1398,0.14111
1399,0.13981
1400,0.14158
