Surfactant Film	
Wavelength(nm),Absorption
1347,0.0067011
1348,0.0067054
1349,0.006693
1350,0.0067179
1351,0.006653
1352,0.0065374
1353,0.0065483
1354,0.0064968
1355,0.0064521
1356,0.0064598
1357,0.0064719
1358,0.0064319
1359,0.0063637
1360,0.0063514
1361,0.0064108
1362,0.0064132
1363,0.0063864
1364,0.00636
1365,0.0063153
1366,0.0062584
1367,0.0062254
1368,0.0062207
1369,0.0062061
1370,0.0061923
1371,0.0062332
1372,0.006191
1373,0.0060814
1374,0.0060899
1375,0.0060182
1376,0.0059807
1377,0.0059237
1378,0.005883
1379,0.0058978
1380,0.0059187
1381,0.0059188
1382,0.0059907
1383,0.0060967
1384,0.005968
1385,0.005845
1386,0.0059611
1387,0.0058612
1388,0.0057993
1389,0.0057868
1390,0.005764
1391,0.0057149
1392,0.0056604
1393,0.005651
1394,0.0057063
1395,0.0056662
1396,0.0056184
1397,0.0056282
1398,0.0056456
1399,0.0056412
1400,0.0056331
1401,0.005629
1402,0.0056296
1403,0.0056365
1404,0.0056272
1405,0.0055619
1406,0.005526
1407,0.0055769
1408,0.0055417
1409,0.0055538
1410,0.0055367
1411,0.0055272
1412,0.0054925
1413,0.0054287
1414,0.005406
1415,0.0054343
1416,0.0054561
1417,0.0053689
1418,0.0053711
1419,0.005425
1420,0.0054161
1421,0.0053832
1422,0.0053741
1423,0.0053725
1424,0.0053349
1425,0.0052773
1426,0.0052778
1427,0.0053286
1428,0.0053042
1429,0.0052751
1430,0.0052686
1431,0.0052549
1432,0.0052846
1433,0.0052836
1434,0.0052515
1435,0.0052322
1436,0.0052349
1437,0.0052454
1438,0.0052206
1439,0.0051953
1440,0.0051883
1441,0.00522
1442,0.0051699
1443,0.0051794
1444,0.0051854
1445,0.0051647
1446,0.0051282
1447,0.0050957
1448,0.0051228
1449,0.0051405
1450,0.0051291
1451,0.0051011
1452,0.0051151
1453,0.005121
1454,0.0050898
1455,0.0050473
1456,0.0050402
1457,0.0050182
1458,0.004954
1459,0.004962
1460,0.0049755
1461,0.0049485
1462,0.0049676
1463,0.0048554
1464,0.0048623
1465,0.0048573
1466,0.0048208
1467,0.0048318
1468,0.0048481
1469,0.004795
1470,0.0047771
1471,0.0048366
1472,0.004846
1473,0.0048095
1474,0.0047637
1475,0.0047051
1476,0.0046966
1477,0.0047119
1478,0.0047013
1479,0.0046661
1480,0.0046479
1481,0.0046602
1482,0.0046634
1483,0.0046598
1484,0.0046243
1485,0.0046187
1486,0.0046007
1487,0.0045863
1488,0.004578
1489,0.0045418
1490,0.0045065
1491,0.0045058
1492,0.0044818
1493,0.004472
1494,0.0044777
1495,0.0044083
1496,0.0043977
1497,0.0043805
1498,0.0044003
1499,0.0043783
1500,0.0043611
1501,0.0043819
1502,0.0043836
1503,0.0043505
1504,0.00428
1505,0.0042657
1506,0.0043264
1507,0.0042796
1508,0.0042578
1509,0.0042351
1510,0.0042671
1511,0.0043112
1512,0.0043041
1513,0.0042708
1514,0.0042657
1515,0.0042757
1516,0.0042301
1517,0.0041853
1518,0.0041498
1519,0.0041255
1520,0.0040857
1521,0.0040687
1522,0.0041042
1523,0.0040972
1524,0.0040332
1525,0.0040937
1526,0.0041379
1527,0.0041324
1528,0.0040708
1529,0.0040144
1530,0.0040371
1531,0.0040276
1532,0.0040331
1533,0.0040443
1534,0.0040329
1535,0.004023
1536,0.0040198
1537,0.0039911
1538,0.0040198
1539,0.0039875
1540,0.003952
1541,0.0039716
1542,0.0040139
1543,0.0040473
1544,0.0040172
1545,0.0039377
1546,0.0039143
1547,0.0039832
1548,0.0039686
1549,0.0038546
1550,0.003875
1551,0.0038694
1552,0.0038888
1553,0.0038909
1554,0.003892
1555,0.0039044
1556,0.0038799
1557,0.0038264
1558,0.0038532
1559,0.0038809
1560,0.003876
1561,0.0038448
1562,0.003845
1563,0.0038735
1564,0.0038946
1565,0.003881
1566,0.0038676
1567,0.003864
1568,0.0038358
1569,0.0037974
1570,0.0038092
1571,0.0037964
1572,0.0037742
1573,0.0037625
1574,0.0037346
1575,0.0037441
1576,0.0037638
1577,0.0037636
1578,0.0037362
1579,0.0037099
1580,0.0037178
1581,0.0036841
1582,0.0036733
1583,0.0037024
1584,0.003738
1585,0.003744
1586,0.0037182
1587,0.0037176
1588,0.0037236
1589,0.0037047
1590,0.003671
1591,0.0036479
1592,0.0036897
1593,0.0036724
1594,0.0036311
1595,0.003633
1596,0.0036285
1597,0.0036292
1598,0.0036252
1599,0.0036064
1600,0.0036005
1601,0.0035929
1602,0.0035225
1603,0.0035343
1604,0.003583
1605,0.0035988
1606,0.0036077
1607,0.0035375
1608,0.0035214
1609,0.0035487
1610,0.0035383
1611,0.0034975
1612,0.0034917
1613,0.0035072
1614,0.003486
1615,0.0034179
1616,0.0035711
1617,0.0035835
1618,0.0035082
1619,0.0034363
1620,0.00346
1621,0.0034953
1622,0.0034482
1623,0.0033936
1624,0.0034404
1625,0.0034441
1626,0.0033453
1627,0.003374
1628,0.0034237
1629,0.0034484
1630,0.0033879
1631,0.0033359
1632,0.0033518
1633,0.0033856
1634,0.003373
1635,0.0033381
1636,0.0033417
1637,0.0033583
1638,0.0033468
1639,0.0033454
1640,0.0033474
1641,0.0033066
1642,0.0032782
1643,0.0032875
1644,0.003318
1645,0.0033265
1646,0.0032688
1647,0.0032184
1648,0.0032379
1649,0.0032843
1650,0.0032671
1651,0.00324
1652,0.0032286
1653,0.0031879
1654,0.0031894
1655,0.0032251
1656,0.0032113
1657,0.0031961
1658,0.0031848
1659,0.0031404
1660,0.003185
1661,0.0032474
1662,0.0032235
1663,0.0031779
1664,0.0031617
1665,0.0031365
1666,0.0031393
1667,0.0031952
1668,0.0031792
1669,0.0031638
1670,0.0031117
1671,0.0030999
1672,0.003124
1673,0.0031277
1674,0.0031347
1675,0.0030861
1676,0.0030537
1677,0.0031134
1678,0.0031834
1679,0.0031481
1680,0.0031062
1681,0.0030778
1682,0.0030715
1683,0.0030765
1684,0.003067
1685,0.0030766
1686,0.0030735
1687,0.0030754
1688,0.0030817
1689,0.0030618
1690,0.003043
1691,0.0030425
1692,0.0029451
1693,0.0029596
1694,0.0030037
1695,0.0029799
1696,0.0029351
1697,0.0029566
1698,0.0029885
1699,0.0030047
1700,0.0030302
1701,0.0030206
1702,0.0030403
1703,0.0029752
1704,0.0029683
1705,0.0029433
1706,0.0029575
1707,0.0029707
1708,0.0029747
1709,0.0029691
1710,0.0029771
1711,0.0030073
1712,0.0030114
1713,0.0029837
1714,0.002911
1715,0.0029178
1716,0.0029467
1717,0.0029552
1718,0.0029193
1719,0.0029177
1720,0.0029322
1721,0.0029407
1722,0.0029619
1723,0.0029657
1724,0.0029503
1725,0.0029316
1726,0.0029715
1727,0.0029615
1728,0.002935
1729,0.0029228
1730,0.0029413
1731,0.0029606
1732,0.0029514
1733,0.0029261
1734,0.0029144
1735,0.0029165
1736,0.002905
1737,0.0028699
1738,0.0028843
1739,0.0028924
1740,0.002874
1741,0.0028742
1742,0.0028794
1743,0.0028841
1744,0.0028964
1745,0.0028721
1746,0.0028307
1747,0.0028576
1748,0.0028436
1749,0.0028237
1750,0.0028399
1751,0.0028503
1752,0.0028645
1753,0.0028547
1754,0.0028525
1755,0.0028975
1756,0.002904
1757,0.0028596
1758,0.0028683
1759,0.0028299
1760,0.0028412
1761,0.0028164
1762,0.0028387
1763,0.0028668
1764,0.0028532
1765,0.0028154
1766,0.0028033
1767,0.0028185
1768,0.0027754
1769,0.0027381
1770,0.0027378
1771,0.0027994
1772,0.0027609
1773,0.0027574
1774,0.0027732
1775,0.002789
1776,0.0027931
1777,0.0027879
1778,0.0028053
1779,0.0027708
1780,0.0027468
1781,0.002706
1782,0.0027767
1783,0.0027726
1784,0.0027667
1785,0.0027653
