SurfactantFilm,,SurfactantSolution,
Wavelength(nm),Absorption,Wavelength(nm),Absorption
773,0.0075355,773,0.22032
774,0.0075144,774,0.21972
775,0.0074497,775,0.21902
776,0.0074661,776,0.21859
777,0.0077553,777,0.21811
778,0.0076551,778,0.21755
779,0.0075349,779,0.2171
780,0.007669,780,0.21693
781,0.0077588,781,0.21673
782,0.0077222,782,0.21659
783,0.0075735,783,0.21661
784,0.0074358,784,0.21659
785,0.0074045,785,0.21639
786,0.0075199,786,0.21654
787,0.0076696,787,0.2169
788,0.0076042,788,0.21698
789,0.0073835,789,0.21721
790,0.0074187,790,0.21732
791,0.0072717,791,0.21748
792,0.0072188,792,0.21751
793,0.0073075,793,0.21774
794,0.0074512,794,0.21766
795,0.0075039,795,0.21771
796,0.0073322,796,0.21767
797,0.0073327,797,0.21793
798,0.0073327,798,0.21779
799,0.0073327,799,0.21657
800,0.0073327,800,0.21643
801,0.0072811,801,0.21627
802,0.0073319,802,0.21606
803,0.0073144,803,0.21582
804,0.0073046,804,0.21556
805,0.0073391,805,0.21524
806,0.0073391,806,0.21496
807,0.0072691,807,0.21456
808,0.0072347,808,0.21419
809,0.0072852,809,0.21374
810,0.007296,810,0.21321
811,0.0073328,811,0.21273
812,0.007255,812,0.21218
813,0.0072689,813,0.21153
814,0.0072622,814,0.21091
815,0.0072763,815,0.21026
816,0.007284,816,0.20953
817,0.0072711,817,0.20873
818,0.0072338,818,0.20802
819,0.0072189,819,0.20711
820,0.0072108,820,0.20626
821,0.0071988,821,0.20544
822,0.0072106,822,0.20449
823,0.0072446,823,0.20348
824,0.0072347,824,0.20259
825,0.0071994,825,0.20161
826,0.0071713,826,0.20061
827,0.0071232,827,0.19962
828,0.0070875,828,0.19866
829,0.0070924,829,0.1976
830,0.0070983,830,0.19669
831,0.0070512,831,0.19577
832,0.0069789,832,0.19483
833,0.0069538,833,0.19391
834,0.0069793,834,0.19301
835,0.006945,835,0.19207
836,0.0068868,836,0.19126
837,0.0068621,837,0.19046
838,0.0068572,838,0.18968
839,0.0068424,839,0.18898
840,0.0068016,840,0.18825
841,0.0067991,841,0.18761
842,0.0067725,842,0.18702
843,0.0067484,843,0.18643
844,0.0067227,844,0.18588
845,0.0067201,845,0.18538
846,0.0066999,846,0.18499
847,0.0066752,847,0.18456
848,0.006658,848,0.18423
849,0.0066422,849,0.1839
850,0.0066281,850,0.18362
851,0.006614,851,0.18338
852,0.0065646,852,0.18315
853,0.0065421,853,0.18301
854,0.0065807,854,0.18282
855,0.0065692,855,0.18273
856,0.0065089,856,0.18262
857,0.0065171,857,0.18262
858,0.0065715,858,0.18256
859,0.0064788,859,0.18258
860,0.006425,860,0.18257
861,0.0064542,861,0.18266
862,0.0064237,862,0.18268
863,0.0063765,863,0.18275
864,0.0064295,864,0.18283
865,0.0064321,865,0.18297
866,0.0063604,866,0.18313
867,0.0062564,867,0.18318
868,0.0063745,868,0.18332
869,0.0063237,869,0.18337
870,0.006289,870,0.18355
871,0.0063086,871,0.18369
872,0.0062887,872,0.18377
873,0.0062456,873,0.18384
874,0.0061895,874,0.18396
875,0.0061509,875,0.18401
876,0.0062368,876,0.18403
877,0.0062466,877,0.18409
878,0.0062253,878,0.18407
879,0.0061584,879,0.18407
880,0.0062006,880,0.18402
881,0.0062081,881,0.18392
882,0.006168,882,0.18387
883,0.0061001,883,0.18379
884,0.0060468,884,0.18372
885,0.0060111,885,0.18361
886,0.005988,886,0.18349
887,0.006025,887,0.18343
888,0.0060915,888,0.18332
889,0.0059956,889,0.18326
890,0.0059881,890,0.18319
891,0.005923,891,0.18316
892,0.005925,892,0.18314
893,0.005948,893,0.1831
894,0.0059231,894,0.18318
895,0.0058777,895,0.18325
896,0.0058671,896,0.1834
897,0.0059152,897,0.18361
898,0.0059826,898,0.18388
899,0.0058927,899,0.18425
900,0.0058302,900,0.18476
901,0.0057449,901,0.18531
902,0.0057775,902,0.18605
903,0.0057912,903,0.18682
904,0.0058145,904,0.18773
905,0.0058091,905,0.18898
906,0.0057971,906,0.19004
907,0.0057906,907,0.19126
908,0.0057738,908,0.19252
909,0.0057683,909,0.19368
910,0.0057494,910,0.19471
911,0.0058128,911,0.19556
912,0.005793,912,0.19615
913,0.0057726,913,0.1964
914,0.0058123,914,0.19638
915,0.0058076,915,0.19597
916,0.0057833,916,0.1954
917,0.0057561,917,0.19443
918,0.0057069,918,0.19336
919,0.0056653,919,0.19223
920,0.0057039,920,0.19104
921,0.0057765,921,0.18983
922,0.0058374,922,0.18875
923,0.0057411,923,0.18785
924,0.0057057,924,0.18705
925,0.0057134,925,0.1865
926,0.0057806,926,0.18617
927,0.0058107,927,0.18601
928,0.0058288,928,0.18604
929,0.0058431,929,0.18627
930,0.0058181,930,0.18669
931,0.0058212,931,0.18722
932,0.0058583,932,0.18779
933,0.0058166,933,0.1886
934,0.0058796,934,0.18945
935,0.0058515,935,0.19037
936,0.0058992,936,0.19156
937,0.0059149,937,0.19266
938,0.0059061,938,0.19392
939,0.0059369,939,0.19531
940,0.0059466,940,0.19675
941,0.005893,941,0.1983
942,0.0059108,942,0.19997
943,0.0059457,943,0.20183
944,0.0060153,944,0.2036
945,0.0059394,945,0.20561
946,0.0060227,946,0.20758
947,0.0060304,947,0.20941
948,0.0060029,948,0.21138
949,0.006014,949,0.21304
950,0.006037,950,0.21448
951,0.0060297,951,0.21551
952,0.0060064,952,0.21622
953,0.0060086,953,0.2165
954,0.0060744,954,0.21639
955,0.0060729,955,0.21588
956,0.0061302,956,0.21508
957,0.0060872,957,0.21405
958,0.0060694,958,0.21296
959,0.0061231,959,0.21174
960,0.006164,960,0.21058
961,0.0061805,961,0.2095
962,0.006195,962,0.20859
963,0.0062026,963,0.20779
964,0.0062073,964,0.20737
965,0.0062081,965,0.20697
966,0.0062138,966,0.2068
967,0.0062352,967,0.20687
968,0.0063048,968,0.20711
969,0.0062838,969,0.20746
970,0.0062956,970,0.20793
971,0.0063264,971,0.20858
972,0.0063594,972,0.20928
973,0.0063655,973,0.21002
974,0.0063463,974,0.21085
975,0.0063663,975,0.21158
976,0.0063318,976,0.21243
977,0.0063979,977,0.21321
978,0.0063827,978,0.21395
979,0.0064054,979,0.21474
980,0.0063994,980,0.21539
981,0.0064287,981,0.21606
982,0.0064757,982,0.21661
983,0.0064981,983,0.21719
984,0.0064978,984,0.21767
985,0.0065113,985,0.21816
986,0.0065443,986,0.21863
987,0.0065491,987,0.21905
988,0.0065848,988,0.21949
989,0.0066376,989,0.21989
990,0.006611,990,0.22034
991,0.0065869,991,0.22072
992,0.0066537,992,0.22117
993,0.0066723,993,0.22162
994,0.0066377,994,0.22207
995,0.0066248,995,0.2226
996,0.0066518,996,0.22308
997,0.0066931,997,0.2236
998,0.0066638,998,0.22412
999,0.0065847,999,0.22476
1000,0.0067124,1000,0.22531
1001,0.0066499,1001,0.22596
1002,0.0066843,1002,0.22665
1003,0.0066997,1003,0.2273
1004,0.0067376,1004,0.22802
1005,0.0067483,1005,0.22892
1006,0.0067092,1006,0.22975
1007,0.0067024,1007,0.23074
1008,0.006734,1008,0.23185
1009,0.0067122,1009,0.233
1010,0.006741,1010,0.23428
1011,0.0066757,1011,0.23573
1012,0.0067537,1012,0.23735
1013,0.0067671,1013,0.23884
1014,0.0067978,1014,0.24058
1015,0.0067728,1015,0.24244
1016,0.0066945,1016,0.24401
1017,0.0066712,1017,0.24573
1018,0.006705,1018,0.24734
1019,0.0066897,1019,0.24863
1020,0.0067674,1020,0.24968
1021,0.0066932,1021,0.25043
1022,0.0067951,1022,0.25082
1023,0.0067815,1023,0.25074
1024,0.0067769,1024,0.2504
1025,0.0067852,1025,0.2496
1026,0.0068088,1026,0.24846
1027,0.0067966,1027,0.2471
1028,0.0067623,1028,0.24547
1029,0.0067817,1029,0.24382
1030,0.0068363,1030,0.24186
1031,0.0068382,1031,0.23988
1032,0.0068521,1032,0.23815
1033,0.0068046,1033,0.23626
1034,0.0067542,1034,0.23447
1035,0.0067419,1035,0.23291
1036,0.0067612,1036,0.23135
1037,0.0068018,1037,0.22988
1038,0.0068268,1038,0.22868
1039,0.006808,1039,0.2276
1040,0.0067799,1040,0.22656
1041,0.0068077,1041,0.22578
1042,0.0068526,1042,0.22512
1043,0.0068383,1043,0.22449
1044,0.0068689,1044,0.22404
1045,0.0067992,1045,0.22372
1046,0.0068315,1046,0.22348
1047,0.006878,1047,0.22328
1048,0.0069046,1048,0.22314
1049,0.0068838,1049,0.22313
1050,0.0068499,1050,0.22312
1051,0.0068423,1051,0.22318
1052,0.0068182,1052,0.22333
1053,0.0068294,1053,0.22345
1054,0.006796,1054,0.22362
1055,0.0068338,1055,0.2238
1056,0.0068634,1056,0.22392
1057,0.0068668,1057,0.22397
1058,0.0068923,1058,0.22404
1059,0.0069123,1059,0.22398
1060,0.0068723,1060,0.22382
1061,0.006804,1061,0.22354
1062,0.0067819,1062,0.22315
1063,0.0067997,1063,0.22266
1064,0.0068225,1064,0.22195
1065,0.0068231,1065,0.22117
1066,0.0068525,1066,0.22037
1067,0.0068024,1067,0.21952
1068,0.0067555,1068,0.21853
1069,0.006789,1069,0.21767
